Symbol,Price,Day
TOASO,269,2025-11-03
MGROS,"455,67",2025-11-03
THYAO,294,2025-11-03
SASA,"3,12",2025-11-03
TCELL,"97,45",2025-11-03
TTKOM,"49,96",2025-11-03
ASELS,"202,6",2025-11-03
BIMAS,536,2025-11-03
KOZAL,"26,88",2025-10-31
GUBRF,"316,5",2025-10-31
YKBNK,"33,6",2025-10-31
DSTKF,643,2025-10-31
TUPRS,"197,6",2025-10-31
ENKAI,"77,7",2025-10-31
TAVHL,265,2025-10-31
SISE,"36,78",2025-10-31
GARAN,"134,6",2025-10-31
KCHOL,"171,6",2025-10-31
EKGYO,"20,22",2025-10-31
ASTOR,"98,2",2025-10-31
AKBNK,"60,8",2025-10-31
ULKER,"108,1",2025-10-31
AEFES,"14,53",2025-10-31
SAHOL,"81,55",2025-10-31
ISCTR,"12,65",2025-10-31
MGROS,"450,21",2025-10-31
TCELL,"99,7",2025-10-31
PGSUS,210,2025-10-31
KRDMD,"27,42",2025-10-31
TOASO,"264,25",2025-10-31
FROTO,"99,25",2025-10-31
PETKM,"17,17",2025-10-31
TTKOM,51,2025-10-31
BIMAS,539,2025-10-31
EREGL,"27,48",2025-10-31
THYAO,"291,5",2025-10-31
ASELS,"203,6",2025-10-31
SASA,"3,07",2025-10-31
GUBRF,"312,5",2025-10-30
KOZAL,"27,2",2025-10-30
TUPRS,196,2025-10-30
TAVHL,"260,25",2025-10-30
ENKAI,"77,25",2025-10-30
SISE,"36,76",2025-10-30
DSTKF,629,2025-10-30
EKGYO,"19,93",2025-10-30
YKBNK,"32,1",2025-10-30
KCHOL,"167,2",2025-10-30
KRDMD,"27,38",2025-10-30
ULKER,"106,6",2025-10-30
SAHOL,"80,85",2025-10-30
GARAN,130,2025-10-30
AKBNK,"59,5",2025-10-30
AEFES,"14,44",2025-10-30
EREGL,"27,48",2025-10-30
TTKOM,"51,4",2025-10-30
TCELL,"98,75",2025-10-30
ASTOR,"95,85",2025-10-30
TOASO,"262,5",2025-10-30
ASELS,"205,7",2025-10-30
ISCTR,"12,45",2025-10-30
MGROS,"443,51",2025-10-30
PETKM,"17,1",2025-10-30
PGSUS,"206,4",2025-10-30
BIMAS,532,2025-10-30
FROTO,"96,25",2025-10-30
SASA,"3,06",2025-10-30
THYAO,290,2025-10-30
TAVHL,"262,75",2025-10-28
TUPRS,"196,7",2025-10-28
GUBRF,307,2025-10-28
KRDMD,"28,02",2025-10-28
YKBNK,"32,36",2025-10-28
BIMAS,566,2025-10-28
SISE,"36,26",2025-10-28
DSTKF,"592,5",2025-10-28
ENKAI,"75,8",2025-10-28
KCHOL,"167,5",2025-10-28
TTKOM,"52,5",2025-10-28
TCELL,"100,6",2025-10-28
ULKER,"106,6",2025-10-28
EKGYO,"19,77",2025-10-28
ASELS,"211,4",2025-10-28
AEFES,"14,52",2025-10-28
KOZAL,"25,4",2025-10-28
ISCTR,"12,41",2025-10-28
MGROS,"451,2",2025-10-28
TOASO,263,2025-10-28
GARAN,128,2025-10-28
EREGL,"27,58",2025-10-28
AKBNK,"58,55",2025-10-28
SAHOL,"79,35",2025-10-28
FROTO,"97,5",2025-10-28
THYAO,292,2025-10-28
ASTOR,"95,4",2025-10-28
SASA,"3,1",2025-10-28
PGSUS,"205,2",2025-10-28
PETKM,"16,89",2025-10-28
TAVHL,"262,25",2025-10-27
GUBRF,308,2025-10-27
TUPRS,"192,7",2025-10-27
KRDMD,"28,18",2025-10-27
YKBNK,"32,04",2025-10-27
BIMAS,"565,5",2025-10-27
